Af,wf,fbeat,f1,f2,fase,dfase
0.0,140.0,175.0,1469.0,1644.0,-167.02402139978858,113.97221858576643
0.0,170.0,175.0,1469.0,1644.0,-25.654486705792745,19.88696479285659
0.0,200.0,175.0,1469.0,1644.0,115.71504798820308,79.17119722276118
0.0,230.0,175.0,1469.0,1644.0,257.08458268219886,173.19216123960928
0.03,140.0,176.0,1594.0,1770.0,-171.8133098885094,116.73486732703549
0.03,170.0,170.0,1457.0,1797.0,-3.491122665649191,2.975834289805789
0.03,200.0,179.0,1453.0,1632.0,97.03748285515384,67.0023106831203
0.03,230.0,178.0,1453.0,1631.0,243.12670044718516,164.6769065478867
0.06,140.0,186.0,1674.0,1860.0,-215.46241358921142,146.0073079868066
0.06,170.0,170.0,1565.0,1911.0,-30.673989403124388,23.042286125414762
0.06,200.0,200.0,1600.0,1797.0,4.046519367616509,4.272103277085648
0.06,230.0,203.0,1610.0,1813.0,139.77956662828868,98.61620720685596
0.09,140.0,140.0,1820.0,1960.0,-161.63520877563798,112.56571157366591
0.09,170.0,170.0,1700.0,2040.0,1.0711100848916097,3.0264721078992807
0.09,200.0,200.0,1800.0,2000.0,1.5479312061062966,3.644717241899798
0.09,230.0,230.0,1840.0,1840.0,1.8087479917785116,3.2842941173365716
